,layerID,node1ID,node2ID,weight,community,community2
0,1,1,2,1,6,0
1,1,2,1,1,6,0
2,1,8,172,1,1,0
3,1,10,214,1,-1,-1
4,1,163,164,1,7,0
5,1,163,196,1,7,0
6,1,163,215,1,7,0
7,1,165,8,1,1,0
8,1,166,8,1,1,0
9,1,168,212,1,5,0
10,1,172,8,1,1,0
11,1,180,181,1,12,0
12,1,181,180,1,12,0
13,1,185,5,1,4,0
14,1,185,163,1,4,0
15,1,185,186,1,4,0
16,1,185,187,1,4,0
17,1,185,188,1,4,0
18,1,185,189,1,4,0
19,1,185,190,1,4,0
20,1,185,191,1,4,0
21,1,185,192,1,4,0
22,1,185,193,1,4,0
23,1,188,195,1,11,0
24,1,190,25,1,3,0
25,1,190,204,1,3,0
26,1,190,205,1,3,0
27,1,190,206,1,3,0
28,1,190,207,1,3,0
29,1,190,208,1,3,0
30,1,196,163,1,7,0
31,1,197,198,1,2,0
32,1,197,201,1,2,0
33,1,197,209,1,2,0
34,1,197,210,1,2,0
35,1,202,203,1,8,0
36,1,216,1,1,6,0
37,2,1,2,1,6,0
38,2,1,3,1,6,0
39,2,1,185,1,6,0
40,2,1,190,1,6,0
41,2,1,194,1,6,0
42,2,1,210,1,6,0
43,2,1,216,1,6,0
44,2,2,1,1,6,0
45,2,3,1,1,6,0
46,2,4,5,1,10,0
47,2,5,164,1,10,0
48,2,6,7,1,9,0
49,2,8,9,1,1,0
50,2,8,172,1,1,0
51,2,8,173,1,1,0
52,2,8,174,1,1,0
53,2,8,175,1,1,0
54,2,8,176,1,1,0
55,2,8,177,1,1,0
56,2,8,178,1,1,0
57,2,8,179,1,1,0
58,2,8,182,1,1,0
59,2,10,11,1,-1,-1
60,2,10,12,1,-1,-1
61,2,10,13,1,-1,-1
62,2,10,14,1,-1,-1
63,2,10,15,1,-1,-1
64,2,10,16,1,-1,-1
65,2,10,17,1,-1,-1
66,2,10,18,1,-1,-1
67,2,10,19,1,-1,-1
68,2,10,20,1,-1,-1
69,2,10,21,1,-1,-1
70,2,10,22,1,-1,-1
71,2,10,23,1,-1,-1
72,2,10,24,1,-1,-1
73,2,10,25,1,-1,-1
74,2,10,26,1,-1,-1
75,2,10,27,1,-1,-1
76,2,10,28,1,-1,-1
77,2,10,29,1,-1,-1
78,2,10,30,1,-1,-1
79,2,10,31,1,-1,-1
80,2,10,32,1,-1,-1
81,2,10,33,1,-1,-1
82,2,10,34,1,-1,-1
83,2,10,35,1,-1,-1
84,2,10,36,1,-1,-1
85,2,10,37,1,-1,-1
86,2,10,38,1,-1,-1
87,2,10,39,1,-1,-1
88,2,10,40,1,-1,-1
89,2,10,41,1,-1,-1
90,2,10,42,1,-1,-1
91,2,10,43,1,-1,-1
92,2,10,44,1,-1,-1
93,2,10,45,1,-1,-1
94,2,10,46,1,-1,-1
95,2,10,47,1,-1,-1
96,2,10,48,1,-1,-1
97,2,10,49,1,-1,-1
98,2,10,50,1,-1,-1
99,2,10,51,1,-1,-1
100,2,10,52,1,-1,-1
101,2,10,53,1,-1,-1
102,2,10,54,1,-1,-1
103,2,10,55,1,-1,-1
104,2,10,56,1,-1,-1
105,2,10,57,1,-1,-1
106,2,10,58,1,-1,-1
107,2,10,59,1,-1,-1
108,2,10,60,1,-1,-1
109,2,10,61,1,-1,-1
110,2,10,62,1,-1,-1
111,2,10,63,1,-1,-1
112,2,10,64,1,-1,-1
113,2,10,65,1,-1,-1
114,2,10,66,1,-1,-1
115,2,10,67,1,-1,-1
116,2,10,68,1,-1,-1
117,2,10,69,1,-1,-1
118,2,10,70,1,-1,-1
119,2,10,71,1,-1,-1
120,2,10,72,1,-1,-1
121,2,10,73,1,-1,-1
122,2,10,74,1,-1,-1
123,2,10,75,1,-1,-1
124,2,10,76,1,-1,-1
125,2,10,77,1,-1,-1
126,2,10,78,1,-1,-1
127,2,10,79,1,-1,-1
128,2,10,80,1,-1,-1
129,2,10,81,1,-1,-1
130,2,10,82,1,-1,-1
131,2,10,83,1,-1,-1
132,2,10,84,1,-1,-1
133,2,10,85,1,-1,-1
134,2,10,86,1,-1,-1
135,2,10,87,1,-1,-1
136,2,10,88,1,-1,-1
137,2,10,89,1,-1,-1
138,2,10,90,1,-1,-1
139,2,10,91,1,-1,-1
140,2,10,92,1,-1,-1
141,2,10,93,1,-1,-1
142,2,10,94,1,-1,-1
143,2,10,95,1,-1,-1
144,2,10,96,1,-1,-1
145,2,10,97,1,-1,-1
146,2,10,98,1,-1,-1
147,2,10,99,1,-1,-1
148,2,10,100,1,-1,-1
149,2,10,101,1,-1,-1
150,2,10,102,1,-1,-1
151,2,10,103,1,-1,-1
152,2,10,104,1,-1,-1
153,2,10,105,1,-1,-1
154,2,10,106,1,-1,-1
155,2,10,107,1,-1,-1
156,2,10,108,1,-1,-1
157,2,10,109,1,-1,-1
158,2,10,110,1,-1,-1
159,2,10,111,1,-1,-1
160,2,10,112,1,-1,-1
161,2,10,113,1,-1,-1
162,2,10,114,1,-1,-1
163,2,10,115,1,-1,-1
164,2,10,116,1,-1,-1
165,2,10,117,1,-1,-1
166,2,10,118,1,-1,-1
167,2,10,119,1,-1,-1
168,2,10,120,1,-1,-1
169,2,10,121,1,-1,-1
170,2,10,122,1,-1,-1
171,2,10,123,1,-1,-1
172,2,10,124,1,-1,-1
173,2,10,125,1,-1,-1
174,2,10,126,1,-1,-1
175,2,10,127,1,-1,-1
176,2,10,128,1,-1,-1
177,2,10,129,1,-1,-1
178,2,10,130,1,-1,-1
179,2,10,131,1,-1,-1
180,2,10,132,1,-1,-1
181,2,10,133,1,-1,-1
182,2,10,134,1,-1,-1
183,2,10,135,1,-1,-1
184,2,10,136,1,-1,-1
185,2,10,137,1,-1,-1
186,2,10,138,1,-1,-1
187,2,10,139,1,-1,-1
188,2,10,140,1,-1,-1
189,2,10,141,1,-1,-1
190,2,10,142,1,-1,-1
191,2,10,143,1,-1,-1
192,2,10,144,1,-1,-1
193,2,10,145,1,-1,-1
194,2,10,146,1,-1,-1
195,2,10,147,1,-1,-1
196,2,10,148,1,-1,-1
197,2,10,149,1,-1,-1
198,2,10,150,1,-1,-1
199,2,10,151,1,-1,-1
200,2,10,152,1,-1,-1
201,2,10,153,1,-1,-1
202,2,10,154,1,-1,-1
203,2,10,155,1,-1,-1
204,2,10,156,1,-1,-1
205,2,10,157,1,-1,-1
206,2,10,158,1,-1,-1
207,2,10,159,1,-1,-1
208,2,10,160,1,-1,-1
209,2,10,183,1,-1,-1
210,2,162,6,1,9,0
211,2,163,164,1,7,0
212,2,163,184,1,7,0
213,2,163,196,1,7,0
214,2,163,215,1,7,0
215,2,167,168,1,5,0
216,2,168,167,1,5,0
217,2,168,169,1,5,0
218,2,168,170,1,5,0
219,2,168,171,1,5,0
220,2,168,211,1,5,0
221,2,170,202,1,8,0
222,2,181,180,1,12,0
223,2,184,163,1,7,0
224,2,185,1,1,4,0
225,2,185,188,1,4,0
226,2,194,1,1,11,0
227,2,194,188,1,11,0
228,2,196,163,1,7,0
229,2,197,198,1,2,0
230,2,197,199,1,2,0
231,2,197,200,1,2,0
232,2,197,201,1,2,0
233,2,197,213,1,2,0
234,2,198,197,1,2,0
235,2,201,197,1,2,0
236,2,202,170,1,8,0
237,2,207,190,1,3,0
238,2,208,190,1,3,0
239,2,209,197,1,2,0
240,2,210,1,1,6,0
241,2,210,197,1,6,0
242,2,213,197,1,2,0
243,2,214,10,1,-1,-1
244,2,215,163,1,7,0
245,2,216,1,1,6,0
246,3,8,172,1,1,0
247,3,10,11,1,-1,-1
248,3,10,12,1,-1,-1
249,3,10,13,1,-1,-1
250,3,10,14,1,-1,-1
251,3,10,15,1,-1,-1
252,3,180,181,1,12,0
253,4,10,11,1,-1,-1
254,4,10,15,1,-1,-1
255,4,10,161,1,-1,-1
256,4,165,8,1,1,0
257,4,166,8,1,1,0
258,4,196,163,1,7,0
