"CD_AnnotatedMembers","CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","name","selected","shared name"
,"0.0","0.0","0",,"false","1 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 2 200 201 202 203 204 205 206 207 208 209 210 211 212 213 215 216 25 3 4 5 6 7 8 9","5.977","63","C1241","false","C1241"
,"0.0","0.0","0",,"false","165 166 172 173 174 175 176 177 178 179 182 8 9","3.7","13","C1076","false","C1076"
,"0.0","0.0","0",,"false","197 198 199 200 201 209 213","2.807","7","C1077","false","C1077"
,"0.0","0.0","0",,"false","190 204 205 206 207 208 25","2.807","7","C1078","false","C1078"
,"0.0","0.0","0",,"false","185 186 187 189 191 192 193","2.807","7","C1079","false","C1079"
,"0.0","0.0","0",,"false","167 168 169 171 211 212","2.585","6","C1080","false","C1080"
,"0.0","0.0","0",,"false","1 2 210 216 3","2.322","5","C1081","false","C1081"
,"0.0","0.0","0",,"false","163 184 196 215","2.0","4","C1082","false","C1082"
,"0.0","0.0","0",,"false","170 202 203","1.585","3","C1083","false","C1083"
,"0.0","0.0","0",,"false","162 6 7","1.585","3","C1084","false","C1084"
,"0.0","0.0","0",,"false","164 4 5","1.585","3","C1085","false","C1085"
,"0.0","0.0","0",,"false","188 194 195","1.585","3","C1086","false","C1086"
,"0.0","0.0","0",,"false","180 181","1.0","2","C1087","false","C1087"
